표준버스정류장ID,버스정류장ARS번호,역명
101000135,02240,청계3가.세운교
101000136,02241,청계6가.오간수교
101000137,02242,충무로역.매일경제
101000141,02246,을지로입구역.광교
101000147,02252,신당파인힐하나유보라
101000148,02253,명동국민은행앞
101000149,02254,남산북측순환로입구
101000150,02255,신당동삼성아파트
101000151,02256,신당동대우푸르지오
101000152,02257,황학동주민센터
101000153,02258,신당초등학교앞
101000154,02259,금호베스트빌.래미안하이베르
101000155,02260,금호베스트빌.래미안하이베르
101000156,02261,신당초등학교
101000157,02262,서대문경찰서.농협은행.유관순활동터
101000160,02269,교육연구정보원
101000163,02272,방산종합시장
101000164,02273,황학동롯데캐슬
101000165,02274,광희문.광희동사거리
101000166,02275,광희문.광희동사거리
101000168,02277,황학동롯데캐슬
101000252,05118,신성시장앞
101000254,02278,한국은행.신세계앞
101000258,02279,서울기동대.광희초등학교
101000261,02280,동대문디자인플라자
101000262,02281,서대문역사거리.농협중앙회
101000263,02282,서울스퀘어앞
101000265,02285,힐튼호텔
101000266,02284,힐튼호텔
101000269,02694,서울역
101000290,02286,시청앞.덕수궁
101000293,02288,장충문화체육센터.권기옥활동터
101000294,02199,약수역1번출구
101000295,02223,약수역10번출구
101000301,02641,시청광장
101000304,13047,서대문역사거리
101000305,01006,서대문역사거리
101000328,02289,남산1호터널
101000329,02099,숭례문(가상)
101900001,02518,응봉근린공원.금호산
101900002,02517,신금호파크자이아파트후문
101900003,02516,한국경제신문사
101900004,02513,염천교
101900005,02510,신당역하나은행
101900006,02507,프레스센터
101900007,02506,숭례문앞
101900008,02504,삼성본관앞
101900009,02502,조선일보
101900010,02501,약수역.3.6호선
101900011,02503,시청역
101900012,02505,서울역
101900013,02515,서울역서부
101900017,02514,중림동입구.서소문성지역사박물관
101900018,02524,약수지구대
101900019,02523,약수시장.초록마을앞
101900020,02522,중구청소년수련관.남산타운2상가
101900021,02521,중구청소년수련관.남산타운2상가
101900022,02520,서울방송고등학교.남산타운아파트
101900023,02519,서울방송고등학교.남산타운아파트
101900026,14540,아현실버복지관
101900027,14700,아현1동경로당
102000001,03001,한강대교북단.LG유플러스
102000002,03002,한강대교북단.LG유플러스
102000003,03003,신용산역
102000004,03004,신용산역
102000005,03005,KT용산지사
102000006,03006,KT용산지사
102000007,03007,삼각지역
102000008,03008,삼각지역
102000009,03009,숙대입구역
102000010,03010,숙대입구역
102000011,03011,갈월동
102000012,03012,갈월동
102000018,03110,남영역
102000019,03111,남영역
102000026,03119,신용산역3번출구
102000029,03122,한강대교북단
102000030,03124,서계동
102000031,03125,서계동
102000032,03126,청파동
102000033,03127,청파동
102000034,03128,숙대입구역.청파동주민센터
102000035,03129,숙대입구역.청파동주민센터
102000036,03130,남영역
102000037,03131,남영역
102000038,03132,용산전자상가17동
102000039,03133,용산전자상가19동
102000040,03134,용산전자상가10동
102000041,03135,용산전자상가12동
102000042,03136,용산전자상가.전자랜드
102000043,03137,용산전자상가.전자랜드
102000044,03138,원효대교북단
102000045,03139,용산경찰서
102000046,03140,용산경찰서
102000047,03141,용산꿈나무종합타운.원효로우체국
102000048,03142,용산e편한세상
102000049,03143,남정초등학교
102000050,03144,원효로2가
102000051,03145,원효로2가사거리
102000052,03146,원효로3가
102000053,03147,원효로3가
102000054,03148,용암초등학교입구.이태원주공아파트
102000055,03149,이태원동남산대림아파트.용산동아파트
102000056,03150,용산한신아파트
102000057,03151,해방촌
102000058,03152,국군재정관리단
102000059,03153,용산구청.크라운호텔
102000060,03154,용산구청.크라운호텔
102000061,03155,한강중학교
102000062,03156,한강중학교앞
102000063,03157,서빙고역1번출구
102000064,03158,장충단로입구
102000065,03159,남산예술원
102000066,03160,서울중부기술교육원.블루스퀘어
102000067,03161,서울시중부기술교육원.블루스퀘어
102000068,03162,순천향대학병원
102000069,03163,순천향대학병원
102000070,03164,순천향대학병원
102000071,03165,순천향대학병원.한남오거리
102000072,03166,한남5거리
102000073,03167,남산도서관
102000074,03168,남산도서관
102000075,03169,후암약수터
102000076,03170,후암약수터
102000077,03171,보성여중고입구
102000078,03172,보성여중고입구
102000079,03173,남산체육관
102000080,03174,남산체육관
102000081,03175,하얏트호텔
102000082,03176,하얏트호텔
102000083,03177,용마루고개(서울자동차고등학교)
102000084,03178,용마루고개.효창파크푸르지오아파트
102000085,03179,효창공원앞역
102000086,03180,효창공원앞역
102000087,03181,용산꿈나무종합타운.보건분소
102000088,03182,용산꿈나무종합타운.보건분소
102000089,03183,문배동등기소앞
102000090,03184,전쟁기념관
102000091,03185,전쟁기념관
102000092,03186,녹사평역
102000093,03187,녹사평역
